"","n","date","vcrix"
"144","144",2015-04-20,789.772825500564
"145","145",2015-04-21,797.033144059422
"146","146",2015-04-22,814.612121915429
"147","147",2015-04-23,813.05572418731
"148","148",2015-04-24,699.656852396939
"149","149",2015-04-25,688.703172856468
"150","150",2015-04-26,684.95574762245
"151","151",2015-04-27,697.435740139804
"152","152",2015-04-28,725.776856578051
"153","153",2015-04-29,700.86623316949
"154","154",2015-04-30,688.987880271297
"155","155",2015-05-01,688.987880271297
"156","156",2015-05-02,690.946590547082
"157","157",2015-05-03,681.331320792107
"158","158",2015-05-04,684.384428368923
"159","159",2015-05-05,682.209700920824
"160","160",2015-05-06,672.782259499098
"161","161",2015-05-07,676.784486093288
"162","162",2015-05-08,687.847021514006
"163","163",2015-05-09,686.389228878925
"164","164",2015-05-10,685.973851538723
"165","165",2015-05-11,663.07852145977
"166","166",2015-05-12,663.20613069732
"167","167",2015-05-13,663.798839211516
"168","168",2015-05-14,630.644860764477
"169","169",2015-05-15,613.612562480275
"170","170",2015-05-16,601.071058287956
"171","171",2015-05-17,582.95678623479
"172","172",2015-05-18,567.633958633557
"173","173",2015-05-19,577.771480471458
"174","174",2015-05-20,577.495632875348
"175","175",2015-05-21,577.185281455795
"176","176",2015-05-22,535.243861734241
"177","177",2015-05-23,546.675215467336
"178","178",2015-05-24,548.52853533652
"179","179",2015-05-25,543.071728349384
"180","180",2015-05-26,537.445198983935
"181","181",2015-05-27,505.143150355921
"182","182",2015-05-28,461.157241504299
"183","183",2015-05-29,452.178984510913
"184","184",2015-05-30,452.407990815961
"185","185",2015-05-31,411.579401912713
"186","186",2015-06-01,411.579401912713
"187","187",2015-06-02,438.960048246106
"188","188",2015-06-03,432.385918305736
"189","189",2015-06-04,431.362285825455
"190","190",2015-06-05,427.844025396393
"191","191",2015-06-06,409.254310768931
"192","192",2015-06-07,386.198650289944
"193","193",2015-06-08,355.418215939075
"194","194",2015-06-09,374.935126280318
"195","195",2015-06-10,372.31098714655
"196","196",2015-06-11,368.246540217208
"197","197",2015-06-12,368.364139003978
"198","198",2015-06-13,345.111275427572
"199","199",2015-06-14,348.008504497307
"200","200",2015-06-15,348.557256156942
"201","201",2015-06-16,358.015172715285
"202","202",2015-06-17,462.392543154119
"203","203",2015-06-18,450.30853880612
"204","204",2015-06-19,453.27129687844
"205","205",2015-06-20,461.291228053902
"206","206",2015-06-21,463.191406665286
"207","207",2015-06-22,453.44551546764
"208","208",2015-06-23,449.707379056657
"209","209",2015-06-24,457.093800398412
"210","210",2015-06-25,455.54424831565
"211","211",2015-06-26,459.273238156677
"212","212",2015-06-27,462.39285493298
"213","213",2015-06-28,493.048398073234
"214","214",2015-06-29,496.699528129406
"215","215",2015-06-30,510.404975629097
"216","216",2015-07-01,510.404975629097
"217","217",2015-07-02,483.711471961507
"218","218",2015-07-03,491.055223413647
"219","219",2015-07-04,490.636978197896
"220","220",2015-07-05,489.677545317696
"221","221",2015-07-06,508.743361627778
"222","222",2015-07-07,514.740316545931
"223","223",2015-07-08,518.669683445625
"224","224",2015-07-09,511.865214805898
"225","225",2015-07-10,513.441620956433
"226","226",2015-07-11,561.675027582215
"227","227",2015-07-12,564.607600787251
"228","228",2015-07-13,625.569346596618
"229","229",2015-07-14,756.631794573382
"230","230",2015-07-15,757.390680668475
"231","231",2015-07-16,756.211491662768
"232","232",2015-07-17,709.574442709739
"233","233",2015-07-18,703.332125533901
"234","234",2015-07-19,705.29921171971
"235","235",2015-07-20,699.769818906034
"236","236",2015-07-21,703.488945407166
"237","237",2015-07-22,700.509067017166
"238","238",2015-07-23,696.718243447211
"239","239",2015-07-24,691.241370419113
"240","240",2015-07-25,723.083369452538
"241","241",2015-07-26,724.219923326956
"242","242",2015-07-27,727.36755514593
"243","243",2015-07-28,707.432497312485
"244","244",2015-07-29,701.668683349497
"245","245",2015-07-30,692.647982695557
"246","246",2015-07-31,688.898861584645
